numero_amostra,timestamp,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
135,1345342,-1004,8972,16560,-2616,3343,6083
136,1345395,-2096,7480,13808,2452,3813,4297
137,1345450,-1544,6680,13996,-3941,2928,6064
138,1345508,-1984,7704,13964,-3305,2146,4709
139,1345565,-1580,6080,14700,-3406,4104,7829
140,1345640,-1352,7512,13664,-1417,1464,3804
141,1345698,-836,6796,14792,-1852,1033,2488
142,1345756,-608,6808,14576,-751,784,1641
143,1345841,-216,5544,15344,-3718,1621,4507
144,1345898,-620,5648,15680,-2255,911,2796
145,1345956,-228,5572,16364,-3918,719,2446
146,1346041,12,5024,15940,-1917,-14,729
147,1346094,-340,5508,15604,-2187,433,1904
148,1346152,80,3856,15752,-1578,1077,870
149,1346210,-136,5656,15300,-1761,711,681
150,1346265,352,3892,16652,-398,929,610
151,1346322,316,4592,15360,-971,1048,564
152,1346380,728,4040,16944,72,595,-1664
153,1346455,464,3304,16608,-93,885,-1449
154,1346513,668,4500,15864,-1801,-800,-1201
155,1346570,592,4356,17616,3800,-410,-3729
156,1346655,384,4024,16688,1625,-1052,-3444
157,1346713,-276,4232,15680,863,-2667,-4102
158,1346768,2108,4388,17072,659,-1482,-3115
159,1346825,-508,4696,14344,-4262,-3673,-3497
160,1346886,1712,5612,17904,-917,-3772,-4060
161,1346944,1792,4820,15556,-383,-3114,-3995
162,1347001,2556,4096,16656,331,-2875,-4381
163,1347066,2572,3864,16300,-604,-2394,-5040
164,1347124,3456,4332,16904,645,-2128,-2763
165,1347182,2808,4540,16280,-1789,-1632,-2312
166,1347267,3664,4808,17216,-487,-417,-3472
167,1347324,3316,4764,16096,-17,-7,-3204
168,1347382,3976,3792,16132,1104,650,-3530
169,1347467,3176,5560,16712,1738,1418,-3149
170,1347525,2796,5460,16004,314,460,-2115
171,1347578,3188,5012,16240,1260,1097,-2409
172,1347635,2948,5440,16588,-441,581,-1887
173,1347691,2432,5388,15872,-161,563,-2260
174,1347748,2508,4592,15784,-179,59,-1332
175,1347806,1596,5824,16076,201,2105,-2483
176,1347881,1960,6084,15948,3894,2414,203
177,1347938,1740,5920,15916,301,2730,-1699
178,1347996,1092,5960,14668,3842,3699,-96
179,1348081,512,6292,14992,615,3380,1909
180,1348139,-732,6472,15124,1600,4739,2675
181,1348196,1348,8040,16084,2159,3132,2832
182,1348281,684,7700,15476,-1127,4184,4711
183,1348335,-232,6472,14964,-2116,3116,3293
184,1348392,900,6468,15792,-608,3372,4009
185,1348450,144,5968,14204,1096,2971,1204
186,1348505,580,6920,15228,-200,2438,2482
187,1348563,160,7248,15040,493,2579,1240
188,1348620,-40,6816,14952,-801,3186,2443
189,1348695,-368,7044,13656,-1327,2034,1868
190,1348753,404,6132,15112,-2077,3086,2889
191,1348810,-180,6208,14728,-1906,2382,2228
192,1348895,-100,6500,15236,-1047,1297,1778
193,1348953,-224,5964,15092,-2064,1946,1702
194,1349011,128,6464,15236,-1722,1573,2045
195,1349064,268,5196,15996,-1748,2253,1590
196,1349119,196,5384,15976,-1214,1740,1122
197,1349176,148,5168,16084,-994,1559,1105
198,1349234,-176,5032,15908,-1069,1239,449
199,1349309,356,4780,15100,-2814,841,1232
200,1349367,240,4252,16204,-2216,1319,1151
201,1349424,-12,3848,15620,-2378,545,1230
202,1349509,280,3492,15984,-3896,415,1478
203,1349567,472,3576,16132,-3748,549,931
204,1349625,448,3192,16664,-3590,674,1121
205,1349710,852,2256,16852,-2530,9,774
206,1349767,696,2992,16560,-3742,611,691
207,1349820,604,1900,17212,-1639,894,-461
208,1349878,812,2632,17224,-956,-139,-981
209,1349933,1160,2136,16836,259,-410,-1440
210,1349991,944,2024,17708,1017,-759,-2239
211,1350048,896,1592,16800,624,-1541,-2656
212,1350123,760,1472,16792,-1095,-1420,-2271
213,1350181,2008,1748,17540,-1900,-195,131
214,1350239,1260,1776,16356,-388,19,-821
215,1350324,1388,2352,16820,-1421,524,-792
216,1350381,2224,1644,18344,-670,606,-966
217,1350439,1880,1492,16456,-1152,944,-918
218,1350524,1372,980,16124,-2215,1111,-1480
219,1350577,1932,1120,17508,-481,1095,-784
220,1350635,1404,1244,16348,-2058,1664,57
221,1350692,2300,1624,18056,1072,2541,-720
222,1350747,960,1044,16252,-1317,1315,237
223,1350805,1264,996,16684,-216,1343,49
224,1350862,1324,1288,16896,-724,1361,164
225,1350938,900,1348,16728,-609,568,587
226,1350995,1408,1432,17096,-125,953,34
227,1351053,1272,1228,16796,-433,884,302
228,1351138,1456,1000,16796,-373,1070,393
