numero_amostra,timestamp,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
68,1310739,2176,140,16752,-173,997,80
69,1310796,2132,152,16844,-178,1014,78
70,1310851,2128,136,16820,-209,949,69
71,1310909,2176,244,16852,-202,988,74
72,1310966,2180,144,16856,-192,950,74
73,1311042,2180,148,16888,-201,981,74
74,1311099,2192,120,16844,-231,989,65
75,1311157,2216,168,16764,-221,986,81
76,1311242,2180,144,16768,-210,986,78
77,1311300,2220,136,16940,-189,994,55
78,1311357,2088,92,16864,-190,963,77
79,1311442,2160,208,16900,-204,989,90
80,1311500,2248,172,16856,-186,985,63
81,1311553,2248,176,16884,-228,1008,81
82,1311611,2140,156,16880,-192,950,69
83,1311666,2220,128,16712,-188,1006,54
84,1311724,2148,108,16872,-198,985,75
85,1311781,2200,140,16880,-208,968,79
86,1311856,2172,104,16800,-179,981,65
87,1311914,2152,96,16808,-214,1006,46
88,1311971,2216,92,16860,-199,979,101
89,1312057,2176,-52,16816,22,964,73
90,1312114,2216,284,16664,-1084,776,237
91,1312172,2244,148,16812,185,979,-10
92,1312257,2240,236,16796,-118,989,49
93,1312315,2224,216,16920,-215,942,79
94,1312365,2160,232,17076,-99,1141,-56
95,1312422,2208,196,16720,-49,1013,60
96,1312477,2140,216,16852,-200,983,87
97,1312535,2176,228,16852,-150,968,51
98,1312593,2132,336,16756,2,883,110
99,1312668,2228,216,16796,-300,1020,102
100,1312725,2196,260,16888,-201,990,73
101,1312783,2192,152,16884,-163,1016,12
102,1312868,2220,232,16856,-199,992,78
103,1312925,2128,264,16852,-189,962,69
104,1312983,2220,316,16876,-203,994,74
105,1313068,2224,232,16960,-186,975,73
106,1313126,2232,268,16760,-134,945,96
107,1313179,2152,248,16952,-214,984,41
108,1313237,2192,200,16800,-222,998,67
109,1313292,2180,236,16852,-251,1031,40
110,1313349,2088,236,16592,160,1146,1
111,1313407,2244,228,16684,54,1004,28
112,1313482,2164,204,16860,-181,1022,86
113,1313540,2108,88,17216,519,1128,-24
114,1313597,2140,4,16936,-74,1097,80
115,1313682,2116,148,16728,-336,911,55
116,1313740,2196,180,16848,-31,955,38
117,1313797,2128,196,16824,-141,953,78
118,1313882,2240,176,16880,-225,1056,86
119,1313940,2176,348,16760,-448,971,79
120,1313993,2228,392,16884,-939,937,155
121,1314051,2136,296,16856,-260,926,107
122,1314106,2140,72,16896,-734,1061,111
123,1314164,2192,112,16896,-424,1065,58
124,1314221,2072,108,16868,1067,1076,-107
125,1314296,1724,1032,16948,95,878,1133
126,1314354,2212,280,16748,-263,1340,106
127,1314411,2096,292,16548,-847,916,190
128,1314496,2216,740,16908,-514,896,901
129,1314554,2236,-372,16788,-545,596,1247
130,1314612,2652,312,16652,-217,269,1649
131,1314697,2672,260,16624,46,-48,429
132,1314754,2560,300,16848,1695,442,860
133,1314808,2368,704,16608,-829,1025,746
134,1314865,2800,264,16728,288,311,472
135,1314920,2456,540,16672,156,976,325
136,1314978,2636,476,17192,-65,1664,413
137,1315035,2832,-296,17156,794,840,1315
138,1315111,2532,1252,17076,219,888,1287
139,1315168,2220,956,15984,888,1173,60
140,1315226,2664,772,16912,80,830,330
141,1315311,2544,964,16976,-1964,1441,1525
142,1315368,2128,76,16496,-97,936,1190
143,1315426,2404,844,17204,326,2719,-59
144,1315511,2296,912,16892,-607,1443,614
145,1315569,2476,336,16952,-688,1606,405
146,1315622,2208,824,16860,343,1594,445
147,1315679,2060,912,16724,161,1387,293
148,1315735,2088,768,17156,239,1286,176
149,1315792,2180,792,16608,48,1293,586
150,1315850,1948,960,16408,692,1205,177
151,1315925,1960,832,16848,2497,1949,-370
152,1315982,1876,1444,16508,759,1627,803
153,1316040,1280,868,16164,-636,1162,555
154,1316125,1332,1268,16544,245,779,417
155,1316183,1348,1480,16512,-1762,1499,59
156,1316240,1336,928,16560,-720,987,46
157,1316325,1568,1020,17068,446,1455,516
158,1316383,1560,992,17032,369,1457,22
159,1316436,1172,1184,17036,572,2131,544
160,1316494,832,1528,16824,1357,2091,-1001
161,1316549,892,1180,16784,-691,1425,744
162,1316606,916,1464,16960,-184,1601,675
163,1316664,1224,1012,17176,-856,1562,673
164,1316739,776,2036,17084,22,1758,174
165,1316797,1164,900,16756,-53,1305,295
166,1316854,756,2080,17568,135,1903,205
167,1316939,652,1796,16860,-405,1535,304
168,1316997,684,1308,16468,188,1558,224
169,1317055,412,2072,17356,-223,2298,341
170,1317140,248,2036,17136,-169,1465,289
171,1317193,428,1572,16760,-267,1496,516
172,1317251,300,1752,16368,543,1183,-120
173,1317308,292,1352,16548,-289,799,447
174,1317363,296,1768,17100,53,1232,218
175,1317421,272,1792,17248,133,1618,-281
176,1317478,276,1888,17200,-372,1300,277
177,1317553,260,1820,17196,59,1551,-254
178,1317611,156,1716,16596,-11,1494,-123
179,1317668,100,2164,16908,-195,1530,46
180,1317754,44,1992,17032,-108,1342,-122
181,1317811,52,1792,16576,-160,1216,189
182,1317869,-140,2088,16444,1037,1033,-162
183,1317954,-188,2096,16156,-1135,1085,487
184,1318007,-328,2520,17348,-133,1569,147
185,1318065,-212,1884,16636,493,1347,-31
186,1318122,-232,2004,16948,-146,1185,289
187,1318177,-264,2120,16484,-227,1017,273
188,1318235,-468,2140,16540,256,984,0
189,1318293,-528,2108,16580,145,832,153
190,1318368,-460,2260,16328,166,799,190
191,1318425,-616,2220,16872,531,692,-192
192,1318483,-500,2536,16992,815,1188,-19
193,1318568,-316,2320,16532,-106,770,155
194,1318625,-580,2644,16836,-261,1108,33
195,1318683,-760,2580,16600,140,1650,-58
196,1318736,-744,2412,16828,-610,1248,45
197,1318791,-572,2544,16908,-251,1592,66
198,1318849,-572,2516,16964,526,1358,58
199,1318906,-624,2708,16864,-596,1432,138
200,1318982,-748,2568,16580,-466,1379,343
201,1319039,-824,2540,16816,1522,1834,-496
202,1319097,-984,3144,17036,638,1713,-154
203,1319182,-1100,2752,16404,224,1460,137
204,1319239,-1064,2788,16832,-630,1704,506
205,1319297,-1304,3464,16896,-95,1837,-29
206,1319382,-1116,2952,17568,-78,1850,320
207,1319440,-1064,3348,17152,584,2035,131
208,1319493,-1408,3012,16304,1042,1751,-62
209,1319550,-1484,3288,15256,1836,1872,-475
210,1319605,-1708,3716,16708,-811,864,363
211,1319663,-1840,3936,16292,102,1491,-290
212,1319720,-1696,3360,16076,387,1471,-50
213,1319796,-1668,3148,16136,-987,1339,763
214,1319853,-1844,3424,15980,761,1253,478
215,1319911,-1920,3316,16064,-75,804,519
216,1319996,-1752,3432,16164,87,1049,762
217,1320053,-1872,3760,16432,-364,1269,538
218,1320108,-1848,3212,16772,-181,1440,1198
219,1320165,-1984,4040,16952,1066,2089,692
220,1320226,-1940,4236,15988,371,1432,555
221,1320284,-1908,3348,16428,-705,1541,764
222,1320341,-2112,3900,15968,221,2178,229
223,1320406,-2132,4080,16304,-206,1427,752
224,1320464,-2192,4212,16412,-55,1442,668
225,1320521,-2100,3636,15988,-1041,1131,699
226,1320607,-2068,4132,16324,435,1394,214
227,1320664,-2248,4388,15952,440,1104,509
228,1320722,-2132,4572,16028,56,1138,298
229,1320807,-2064,4408,16112,392,1452,139
230,1320864,-2116,4052,15768,830,1205,-350
231,1320922,-2068,4488,15908,-146,1046,-148
232,1321007,-2040,4012,15968,-522,917,46
233,1321060,-2228,4552,16632,-959,625,-149
234,1321118,-2160,4316,16304,-463,976,-508
235,1321175,-2128,4368,16076,-718,562,-72
236,1321230,-1972,4148,15744,-1229,461,-604
237,1321288,-2168,4364,15920,508,536,-1567
238,1321345,-1992,3984,15928,-2142,667,-927
239,1321420,-1912,3504,15588,-1300,71,-775
240,1321478,-1936,3420,16548,-1869,-446,-713
241,1321535,-1704,3740,16736,-1622,32,-435
242,1321621,-1664,3152,16608,-2002,-229,-400
243,1321678,-1692,2780,16720,-2346,183,-769
244,1321731,-1304,2436,17152,-2850,429,-659
245,1321789,-1476,2672,15984,-1803,7,-1176
246,1321844,-1344,2120,16548,-747,-678,159
247,1321901,-1200,2236,16892,-120,506,-2
248,1321959,-888,2088,17196,-109,561,-119
249,1322034,-924,2152,16988,-1619,-150,294
250,1322091,-988,2052,16968,-307,243,-62
251,1322149,-964,2164,16496,-1307,332,36
252,1322234,-660,1892,16800,-1090,-148,353
253,1322292,-792,2156,16716,224,596,-247
254,1322349,-656,2108,16336,78,35,-308
255,1322434,-360,1920,16740,-609,132,230
256,1322492,-396,2148,16864,973,1052,-340
257,1322545,-328,1820,16472,470,-23,101
258,1322602,-108,2236,17400,161,181,306
259,1322658,-12,2452,17188,-324,579,78
260,1322715,220,2088,16788,-201,28,41
261,1322773,328,2360,17092,755,384,-446
262,1322848,392,2028,16816,578,-54,-206
263,1322905,656,2192,17228,695,-304,-420
264,1322963,340,2420,16552,631,696,-887
265,1323048,1116,2016,17024,-1471,516,-872
266,1323105,132,3624,16448,350,1223,-560
267,1323163,924,1988,16132,-206,-720,246
268,1323248,768,2808,16788,-554,162,-550
269,1323301,1184,2424,16876,-597,-382,-417
270,1323359,1360,1748,16880,-1432,-448,-626
271,1323416,1044,2492,16588,-1731,622,-1546
272,1323471,948,2528,17052,196,142,-213
273,1323529,1364,2216,17128,-338,468,-349
274,1323586,1736,1812,17128,-1730,-846,210
275,1323661,2224,1700,16920,-1455,491,-1089
276,1323719,1772,1648,16524,-2072,-596,237
277,1323776,2008,1392,16348,-4300,175,-574
278,1323861,2064,1156,16588,-7256,630,-562
279,1323919,2064,-248,16736,-4676,-205,918
280,1323976,2136,-1076,17464,-1998,1316,-358
281,1324030,2236,-916,16740,232,1093,-202
282,1324085,1544,-1236,16172,1074,1273,-91
283,1324142,1236,2220,15516,7835,341,-1110
284,1324200,2176,384,16592,-2273,1226,328
285,1324275,2288,296,16700,-26,512,96
286,1324332,2204,284,16912,-38,948,37
287,1324390,2452,148,17040,-152,1061,46
288,1324475,2292,296,16800,-142,1009,48
289,1324532,2260,272,16824,-143,980,57
290,1324590,2308,308,16832,-161,998,54
291,1324675,2288,304,16852,-150,984,93
292,1324733,2320,200,16896,-130,994,41
293,1324790,2272,280,16796,-214,970,58
294,1324843,2296,328,16868,-170,948,25
295,1324898,2300,348,16836,-202,966,95
296,1324956,2312,316,16864,-224,984,34
297,1325013,2232,328,16776,-215,968,108
298,1325088,2300,312,16896,-215,999,74
299,1325146,2260,260,16832,-199,1002,74
300,1325203,2336,340,16852,-174,1013,59
301,1325289,2288,284,16708,-203,979,56
302,1325346,2248,388,16888,-199,973,80
303,1325404,2340,348,16804,-199,983,59
