numero_amostra,timestamp,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
1,1306532,2192,192,17136,210,839,17
2,1306588,2160,28,16956,-288,889,103
3,1306645,2080,220,16820,-257,934,77
4,1306703,2236,56,16844,-407,913,107
5,1306768,2112,172,16868,-145,1043,64
6,1306826,2160,148,16912,-270,983,50
7,1306883,2244,136,16828,-160,967,37
8,1306968,2144,92,16872,-233,985,71
9,1307026,2300,136,16948,-211,967,68
10,1307084,2168,296,16808,-262,975,71
11,1307169,2204,108,16832,-197,988,81
12,1307226,2196,224,16868,-233,1023,80
13,1307280,2184,112,16776,-182,962,62
14,1307337,2236,276,16864,-169,989,67
15,1307392,2204,80,16872,-195,987,50
16,1307450,2184,124,16968,-179,1016,67
17,1307508,2176,208,16888,-222,1002,81
18,1307583,2192,104,16840,-192,964,58
19,1307640,2192,192,16772,-196,1003,69
20,1307698,2172,72,16844,-190,998,62
21,1307783,2216,124,16844,-209,992,65
22,1307841,2216,80,16780,-198,973,61
23,1307898,2224,160,16836,-193,963,61
24,1307983,2228,176,16912,-185,955,85
25,1308041,2156,260,16880,-181,1015,80
26,1308099,2224,124,16880,-223,983,78
27,1308152,2216,236,16788,-196,990,64
28,1308207,2164,124,16908,-228,958,72
29,1308265,2152,84,16864,-194,955,94
30,1308322,2148,164,16848,-224,985,86
31,1308397,2208,128,16784,-182,987,69
32,1308455,2180,180,16828,-194,1000,78
33,1308513,2176,36,16860,-195,985,65
34,1308598,2148,164,16844,-216,984,94
35,1308655,2160,52,16848,-191,1015,55
36,1308713,2192,220,16892,-201,994,74
37,1308798,2196,108,16952,-190,1020,52
38,1308856,2140,204,16816,-241,983,86
39,1308913,2244,120,16884,-200,938,82
40,1308967,2196,184,16900,-178,1002,75
41,1309022,2156,204,16868,-194,1015,78
42,1309079,2188,120,16752,-193,987,96
43,1309137,2192,144,16812,-224,997,53
44,1309212,2188,88,16804,-189,978,72
45,1309270,2236,164,16764,-225,1016,40
46,1309327,2184,76,16924,-207,978,89
47,1309412,2140,136,16864,-188,963,76
48,1309470,2256,124,16856,-210,973,75
49,1309527,2132,260,16824,-202,992,96
50,1309613,2260,60,16932,-196,964,70
51,1309670,2172,188,16868,-202,1017,77
52,1309728,2192,136,16872,-178,987,69
53,1309813,2204,176,16920,-205,969,68
54,1309866,2200,136,16792,-186,1006,78
55,1309924,2200,164,16824,-175,960,69
56,1309981,2192,144,16852,-198,985,53
57,1310037,2216,176,17032,-213,985,83
58,1310094,2228,168,16892,-174,1027,88
59,1310152,2184,100,16788,-227,1007,80
60,1310227,2224,140,16848,-210,981,96
61,1310285,2156,136,16856,-186,993,63
62,1310342,2188,132,16800,-230,974,72
63,1310427,2252,160,16876,-188,1000,86
64,1310485,2244,80,16812,-227,981,70
65,1310543,2200,108,16844,-224,967,89
66,1310628,2156,116,16840,-221,998,91
67,1310681,2252,208,16936,-185,1024,67
