numero_amostra,timestamp,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
1,1358844,1352,1244,16840,257,560,231
2,1358900,1348,1104,16860,-79,1229,50
3,1358957,1308,1144,16868,-665,1308,-194
4,1359015,1148,1092,16856,-672,1235,-9
5,1359080,1304,1068,16904,-57,965,137
6,1359138,1344,1080,16856,-276,844,230
7,1359196,896,1268,17320,901,-94,732
8,1359281,1340,1536,18564,-2613,-513,1258
9,1359338,2772,1588,19408,-2034,-3686,373
10,1359396,2720,-3196,17476,4461,39,592
11,1359481,1136,-3736,12980,200,6202,-1061
12,1359539,1544,10428,20544,-6539,7903,2942
13,1359592,1768,8364,17972,362,-2050,1485
14,1359650,540,-44,14104,7951,-3101,-868
15,1359705,932,-7512,14528,6815,782,-3590
16,1359763,820,-6204,14656,-1604,4146,-34
17,1359820,-824,6864,17268,-6990,11050,2500
18,1359896,1372,12256,21552,2320,-2244,730
19,1359953,-132,1272,16652,9515,-4173,-589
20,1360011,1212,-8056,14416,10603,-2695,-3642
21,1360096,-336,1572,15116,-6691,6874,-903
22,1360154,-276,16040,20400,-4541,8613,1877
23,1360211,-204,11964,19528,3606,-5541,811
24,1360291,748,-6352,13252,8560,-4001,-4286
25,1360349,1160,-7080,14632,2064,4868,-1427
26,1360407,-1688,8068,15748,-11268,9628,2093
27,1360464,-164,16828,20680,-1250,3641,299
28,1360520,-1200,9496,17412,4700,-4307,-550
29,1360577,324,-1248,14548,11822,-6615,-5356
30,1360635,972,-7392,15288,2382,4236,-1870
31,1360710,-2568,12036,15488,-12085,8782,197
32,1360768,-460,17820,22912,3802,220,-1975
33,1360825,-1484,4996,15512,11874,-5857,-5148
34,1360911,-96,-6400,11312,2593,2584,-3736
35,1360968,-3544,6004,17308,-7769,8645,851
36,1361022,-3184,19700,19232,-3499,3404,1230
37,1361079,-2628,14044,16444,3813,-4459,-2401
38,1361134,-1008,2620,11980,12376,-3303,-8677
39,1361192,1660,-4888,13948,2926,2210,-2658
40,1361250,-1844,2108,13576,-8101,6023,2037
41,1361325,-4976,19112,18564,-3929,3814,2037
42,1361383,-4144,13052,15532,3911,-3377,-703
43,1361440,-784,1244,12688,9901,-4068,-6351
44,1361525,-224,-2964,13852,-263,6832,3447
45,1361583,-5356,14120,15048,-15331,7199,5405
46,1361641,-4156,19568,19216,-2699,-682,2090
47,1361726,-780,3444,12864,7176,-7547,-1210
48,1361779,-1044,-5256,8644,3737,-5408,-4503
49,1361837,-580,-1852,20388,-5271,7241,1332
