numero_amostra,timestamp,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
50,1361895,-3352,13200,18020,-17892,6354,6869
51,1361957,-1796,15896,20544,-7887,-2563,4942
52,1362014,-1220,428,12128,5745,-9469,1996
53,1362072,1416,-7012,16792,-665,1769,2772
54,1362137,-1920,5796,17244,-11535,7828,3582
55,1362195,-760,15664,22348,-4748,333,3458
56,1362253,-156,5744,16596,2665,-7581,2236
57,1362338,2232,-9144,14628,-3189,4526,1687
58,1362395,-1380,5784,17692,-13310,8439,3637
59,1362449,-540,16324,22996,-11294,1091,4964
60,1362506,-160,3236,16896,4090,-9215,1631
61,1362562,1284,-12364,10664,12365,-3729,-5781
62,1362619,1012,-5264,17100,-4917,7878,-630
63,1362677,196,16616,25048,-11218,7644,4345
64,1362752,124,3484,18296,10040,-7942,-2273
65,1362810,2452,-10324,11244,14284,-3795,-7589
66,1362867,1624,-7452,11516,-1909,7274,-932
67,1362952,-820,17800,24628,-5974,3985,3584
68,1363010,-728,7952,18748,5613,-6795,-282
69,1363068,1816,-8060,11972,15955,-5268,-7982
70,1363153,-1388,4844,15972,-9259,9667,1734
71,1363206,-1248,16872,22764,-8553,5322,2104
72,1363264,-1140,6248,17192,7955,-5349,-5868
73,1363322,1524,-5160,11588,10102,-1859,-6070
74,1363377,1232,-6068,12804,-2783,5288,1647
75,1363434,-2924,11412,20128,-12841,10005,5211
76,1363492,-2164,15040,20504,665,-3429,197
77,1363567,-96,832,12860,10939,-6437,-4776
78,1363625,1576,-7052,14628,2816,1257,-2532
79,1363682,-1420,3680,16096,-6848,5597,2337
80,1363768,-1412,14420,19876,203,-2151,372
81,1363825,-1032,4908,13680,6979,-5742,-2934
82,1363879,1648,-6244,16684,9101,208,-5826
83,1363936,412,-3108,15164,-4417,3548,4222
84,1363991,-3112,8588,17044,-4628,10330,6281
85,1364049,-528,14080,19776,-4608,-793,6180
86,1364107,-108,6504,14460,1750,-4066,2360
87,1364182,564,-5860,10900,535,134,383
88,1364239,-664,452,18216,-10506,6924,2658
89,1364297,-532,13676,19480,-8173,2851,4991
90,1364382,52,4476,12432,918,-5340,-449
91,1364440,2344,-11636,20020,9654,775,-3268
92,1364497,1056,-3112,15764,-10268,3828,3722
93,1364583,912,10812,20932,-3608,620,2426
94,1364636,124,3308,18748,392,-4165,1775
95,1364693,804,-7844,15004,7380,-3872,-1528
96,1364751,676,-7364,15412,-4165,4311,1733
97,1364806,28,9628,17052,-8057,6367,4151
98,1364864,816,8352,19160,4442,-4798,-1011
99,1364921,988,-3320,16216,8136,-5114,-2606
100,1364997,2296,-7276,17336,-5964,5556,1216
101,1365054,252,8652,15812,-6794,7497,3704
102,1365112,1828,10896,19028,-42,-5779,-592
103,1365197,3040,-5992,19472,4530,-3888,-2207
104,1365255,2744,-6972,14472,-1553,4396,1442
105,1365312,460,6856,15656,-6695,8249,2591
106,1365366,2276,11716,20240,2983,102,-895
107,1365421,512,-7464,16884,12414,-3064,-7486
108,1365478,1212,-4808,15288,-3043,3258,404
109,1365536,1076,13244,17720,-237,7406,1125
110,1365611,928,1432,15508,7954,-4907,-3650
111,1365669,1628,-7432,15544,6246,1747,-2826
112,1365726,-112,7756,16828,-11891,5864,3512
113,1365812,764,5240,16804,3885,-5295,-1605
114,1365869,2488,-6220,15676,2097,572,-2030
115,1365927,196,4560,14256,-9668,3809,2529
116,1366012,-428,696,18580,-608,428,-148
117,1366064,-672,-1688,17312,-4330,572,1377
118,1366122,444,3380,17428,-6780,1500,2851
119,1366180,1624,1408,14820,-4274,791,2349
120,1366235,1292,3572,14828,-3638,-492,1346
121,1366292,748,348,18600,-46,-592,-123
122,1366350,2520,-684,18992,-2599,-1197,1104
123,1366425,2424,-1164,17116,-1476,1199,-5
124,1366483,1656,-480,17000,-2121,1565,-9
125,1366540,1136,-208,17272,-1988,1178,133
126,1366626,1368,-552,16904,-277,868,-138
127,1366683,1524,-696,17040,443,994,-687
128,1366741,1628,-384,16792,424,790,-259
129,1366826,1464,-544,16680,34,850,-39
130,1366879,1680,-328,17200,-261,654,-203
131,1366937,1548,-644,16676,115,900,32
